"abbo"
"ABC"
"ABCD"
"abo"
"af"
"African catfish"
"Africoon"
"Afro-Saxon"
"albino"
"alligator bait"
"Americoon"
"Amo"
"anchor baby"
"Angie"
"Anglo"
"Ann"
"ape"
"apple"
"Argie"
"Armo"
"Aunt Jane"
"Aunt Jemima"
"Aunt Mary"
"Aunt Sally"
"azn"
"bamboo coon"
"banana bender"
"banana lander"
"banana"
"banjo lips"
"bans and cans"
"beach nigger"
"bean dipper"
"beaner shnitzel"
"beaner"
"beaney"
"Bengali"
"bhrempti"
"bint"
"bird"
"bitch"
"bitter clinger"
"bix nood"
"black Barbie"
"black dago"
"blaxican"
"blockhead"
"bludger"
"bluegum"
"bog hopper"
"Bog Irish"
"bog jumper"
"bog trotter"
"bogan"
"bong"
"boo"
"boojie"
"book book"
"boon"
"booner"
"boong"
"boonga"
"boonie"
"border bunny"
"border hopper"
"border jumper"
"border nigger"
"Bounty bar"
"boxhead"
"brass ankle"
"brownie"
"bubble"
"buck"
"buckethead"
"buckra"
"Buckwheat"
"Buddhahead"
"buffie"
"bug eater"
"buk buk"
"bumblebee"
"bung"
"bunga"
"burrhead"
"butterhead"
"cab nigger"
"camel cowboy"
"camel fucker"
"camel humper"
"camel jacker"
"camel jockey"
"can eater"
"carpet pilot"
"carrot snapper"
"Caublasian"
"cave nigger"
"celestial"
"Charlie"
"charva"
"charver"
"chav"
"chee chee"
"cheese eating surrender monkey"
"chi chi"
"chigger"
"chili shitter"
"Chinaman"
"Chinese wetback"
"ching chong"
"chinig"
"chink a billy"
"chink"
"chonky"
"Christ killer"
"chug"
"chunky"
"clam"
"clamhead"
"Cocoa Puff"
"cocoa"
"coconut"
"colored"
"coloured"
"conspiracy theorist"
"coolie"
"coon ass"
"coon"
"cotton picker"
"cow kisser"
"cowboy killer"
"cracker"
"cripple"
"crow"
"cunt"
"curry muncher"
"curry slurper"
"curry stinker"
"Cushi"
"Cushite"
"dago"
"darkey"
"darkie"
"darky"
"dego"
"diaper head"
"dinge"
"dingo fucker"
"dink"
"div"
"divvy"
"dogan"
"dogun"
"dole bludger"
"domes"
"dot head"
"dune coon"
"dune nigger"
"dyke jumper"
"dyke"
"egg"
"eggplant"
"eh hole"
"eight ball"
"eurotrash"
"eyetie"
"fag"
"faggot"
"Fairy"
"fez"
"FOB"
"fog nigger"
"four by two"
"fresh off the boat"
"frog"
"fruit"
"fuzzy wuzzy"
"fuzzy"
"gable"
"gator bait"
"Gerudo"
"gew"
"ghetto hamster"
"ghetto"
"ghost"
"gin jockey"
"gin"
"ginger"
