wigger
wigga
surrender monkey
Zionazi
yardie
whigger
pommy
pommie
sideways vagina
wog
polack
wexican
wop
sideways pussy
shanty Irish
white nigger
soup taker 
roofucker
smoked Irish
wiggerette
sideways cooter
whore from Fife
pom
pommie grant
Punjab
Rhine monkey
sawney
seppo
septic
shant
sheepfucker
Shelta
skinny
Skip
Skippy
smoked Irishman
snout
sole
spink
squarehead
Taffy
tan
Tommy
tunnel digger
Yank
Yankee
