knacker
greaseball
pikey
hoser
Chinaman
bogan
plastic paddy
guala
limey
camel fucker
ocker
Argie
piker
paki
chink
chonky
kraut
Jap
booner
paddy
bog trotter
Hun
banana bender
eyetie
blaxican
Bog Irish
mick
ginzo
dingo fucker
Lebbo
Leb
Gwat
japie
island nigger
lugan
ice nigger
pogue
lowlander
guala guala
eh hole
guido
dogun
Hunyak
bog hopper
pohm
Honyock
cow kisser
ice monkey
greaser
bamboo coon
bog jumper
buk buk
dyke jumper
fresh off the boat
guinea
Hunyock
buckethead
Chinese wetback
chinig
leprechaun
ABC
banana lander
bans and cans
beaner shnitzel
Bengali
bhrempti
black dago
blockhead
book book
boon
boxhead
bubble
butterhead
celestial
Charlie
cheese eating surrender monkey
chigger
chink a billy
chunky
dink
dogan
domes
dot head
FOB
fog nigger
gew
heinie
Honyak
Hunkie
Hunky
Jerry
mack
Merkin
mickey
Mickey Finn
mung
nip
Pepper
Pepsi
piky
