uncivilised
raghead
shyster
Uncle Tom
porch monkey
trailer trash
trailer park trash
race traitor
quadroon
red bone
tar baby
spear chucker
Rico Suave
sheister
Shylock
sideways vagina
slant eye
shit heel
spic
towel head
popolo
squaw
touch of the tar brush
redskin
sideways pussy
wagon burner
shanty Irish
roundeye
redlegs
sambo
prairie nigger
spigger
thicklips
slopehead
quashie
roofucker
timber nigger
poppadom
spigotty
semihole
spook
uncircumcised baboon
smoked Irish
spice nigger
Velcro head
tinkard
uncivilized
sideways cooter
sooty
spick
spickaboo
pointy head
pollo
powderburn
property
Punjab
shade
sheeny
Shelta
shine
shiner
Shy
Skip
Skippy
slant
slit
slope
slopey
slopy
smoke jumper
smoked Irishman
snowflake
sole
spade
spig
spik
spink
squarehead
squinty
stovepipe
sub human
sucker fish
suntan
Taffy
teapot
tenker
tiger
tincker
tinkar
tinker
tinkere
trash
tunnel digger
Twinkie
tyncar
tynekere
tynkard
tynkare
tynker
tynkere
