"coon ass"
"bogan"
"anchor baby"
"camel jockey"
"ching chong"
"alligator bait"
"border jumper"
"beaner"
"border hopper"
"camel fucker"
"coon"
"bix nood"
"af"
"chonky"
"coolie"
"Christ killer"
"camel humper"
"Buckwheat"
"boonie"
"bluegum"
"blaxican"
"border bunny"
"Africoon"
"buckra"
"abo"
"Americoon"
"boong"
"Afro-Saxon"
"banjo lips"
"burrhead"
"carpet pilot"
"African catfish"
"Caublasian"
"camel cowboy"
"Armo"
"bean dipper"
"border nigger"
"chili shitter"
"beach nigger"
"cab nigger"
"Buddhahead"
"bamboo coon"
"brass ankle"
"cave nigger"
"buk buk"
"camel jacker"
"albino"
"ape"
"Aunt Jemima"
"boo"
"buckethead"
"Chinese wetback"
"chinig"
"chug"
"abbo"
"ABC"
"ABCD"
"Angie"
"Anglo"
"Ann"
"apple"
"Aunt Jane"
"Aunt Mary"
"Aunt Sally"
"azn"
"banana"
"bans and cans"
"beaner shnitzel"
"beaney"
"Bengali"
"bhrempti"
"black Barbie"
"black dago"
"bong"
"boojie"
"book book"
"boonga"
"Bounty bar"
"brownie"
"bubble"
"buck"
"buffie"
"bug eater"
"bumblebee"
"bung"
"bunga"
"butterhead"
"can eater"
"celestial"
"Charlie"
"chee chee"
"chi chi"
"chigger"
"chink a billy"
"chunky"
"cocoa"
"Cocoa Puff"
"coconut"
"colored"
"coloured"
