cotton picker
wigger
hillbilly
wigga
surrender monkey
Chinaman
goober
whigger
spiv
zipperhead
kraut
paleface
Hun
white nigger
spook
smoked Irish
wiggerette
sooty
boojie
buffie
celestial
Charlie
cheese eating surrender monkey
crow
dink
div
divvy
fuzzy wuzzy
sawney
sheeny
shine
shiner
smoked Irishman
snowflake
squarehead
teapot
Tommy
tunnel digger
WIC
zip
zippohead
