
"piker"
"pikey"
"piky"
"pineapple nigger"
"ping pang"
"pinto"
"plastic paddy"
"pogue"
"pohm"
"pointy head"
"polack"
"pollo"
"pom"
"pommie grant"
"pommie"
"pommy"
"popolo"
"poppadom"
"porch monkey"
"powderburn"
"prairie nigger"
"prod"
"proddy dog"
"proddywhoddy"
"proddywoddy"
"property"
"Punjab"
"pussy"
"quadroon"
"quashie"
"queen"
"queer"
"race traitor"
"raghead"
"red bone"
"redlegs"
"redneck"
"redskin"
"retard"
"retarded"
"Rhine monkey"
"Rico Suave"
"roofucker"
"roundeye"
"rube"
"Russellite "
"sambo"
"sawney"
"scag"
"scallie"
"scally"
"scanger"
"semihole"
"senga"
"seppo"
"septic"
"shade"
"shant"
"shanty Irish"
"sheeny"
"sheepfucker"
"sheister"
"Shelta"
"shine"
"shiner"
"shit heel"
"shit kicker"
"Shy"
"Shylock"
"shyster"
"sideways cooter"
"sideways pussy"
"sideways vagina"
"skag"
"skanger"
"skinny"
"Skip"
"Skippy"
"slag"
"slant eye"
"slant"
"slit"
"slope"
"slopehead"
"slopey"
"slopy"
"smoke jumper"
"smoked Irish"
"smoked Irishman"
"snout"
"snowflake"
"sole"
"sooty"
"soup taker "
"spade"
"spear chucker"
"sperg"
"spic"
"spice nigger"
"spick"
"spickaboo"
"spide"
"spig"
"spigger"
"spigotty"
"spik"
"spike"
"spink"
"spiv"
"spook"
"squarehead"
"squaw"
"squinty"
"steek"
"stovepipe"
"stump jumper"
"sub human"
"sucker fish"
"suntan"
"surrender monkey"
"Taffy"
"tan"
"tar baby"
"teapot"
"tenker"
"thicklips"
"tiger"
"timber nigger"
"tincker"
"tinkar"
"tinkard"
"tinker"
"tinkere"
"Tommy"
"touch of the tar brush"
"towel head"
"trailer park trash"
"trailer trash"
"tranny"
"trash"
"tree jumper"
"tunnel digger"
"twat"
"Twinkie"
"tyncar"
"tynekere"
"tynkard"
"tynkare"
"tynker"
"tynkere"
"uncircumcised baboon"
"uncivilised"
"uncivilized"
"Uncle Tom"
"Velcro head"
"wagon burner"
"WASP"
"wetback"
"wexican"
"whigger"
"white chocolate"
"white nigger"
"white trash"
"whitey"
"whore from Fife"
"WIC"
"wigga"
"wigger"
"wiggerette"
"wink"
"wog"
"wop"
"Yank"
"Yankee"
"yardie"
"yellow bone"
"yellow"
"yid"
"yob"
"yobbo"
"yokel"
"zebra"
"zigabo"
"Zionazi"
"zip"
"zipperhead"
"zippohead"
"ZOG lover"
"ZOG"
