"@BernieSanders"
"#alllivesmatter"
"#blacklivesmatter"
"#bluelivesmatter"
"#ImVotingBecause"
"a leppo"
"alt right"
"anglo"
"bing"
"pence"
"van jones"
"butterfly"
"car salesman"
"dems"
"#TrumpProtest"
"protest"
"protesters"
"deplorable"
"dirty mexicans"
"dnc"
"donaldjtrump"
"donaldtrump2016"
"Key race alert"
"Canada"
"drumpf"
"dumptrump"
"durdens"
"election"
"election2016"
"elections"
"#ElectionDay"
"#ElectionNight"
"Johnson"
"South Carolina"
"West Virginia"
"elections2016"
"elizabeth warren"
"endorse"
"endorsement"
"FBI Director Comey"
"fbi"
"feelthebern"
"fishbucket"
"fivethirtyeight"
"foxnews"
"fuckhillary"
"fucktrump"
"george bush"
"gogreen"
"goldman"
"google"
"gop"
"grab em by the pussy"
"grab"
"grabembythepussy"
"great again"
"greenparty"
"hilary clinton"
"hilary"
"hilaryclinton"
"hillary"
"hillary2016"
"hillaryclinton"
"hillaryclintonindictment"
"hillno"
"nationalist"
"obomber"
"reagans"
"skittle"
"skype"
"skypes"
"white power"
"whitegenocide"
"yahoo"
