"abbo"
"abo"
"ape"
"african catfish"
"africoon"
"afro-saxon"
"albino"
"alligator bait"
"americoon"
"amo"
"anchor baby"
"angie"
"anglo"
"ann"
"argie"
"armo"
"aunt jane"
"aunt jemima"
"aunt mary"
"aunt sally"
"azn"
"bamboo coon"
"banjo lips"
"bans and cans"
"beach nigger"
"bean dipper"
"beaner shnitzel"
"beaner"
"beaney"
"bengali"
"bhrempti"
"bint"
"bitter clinger"
"bix nood"
"black barbie"
"black dago"
"blaxican"
"blockhead"
"bludger"
"bluegum"
"bog hopper"
"bog irish"
"bog jumper"
"bog trotter"
"bogan"
"bong"
"boojie"
"book book"
"boon"
"booner"
"boong"
"boonga"
"boonie"
"border bunny"
"border hopper"
"border jumper"
"border nigger"
"bounty bar"
"boxhead"
"brass ankle"
"brownie"
"buckethead"
"buckra"
"buckwheat"
"buddhahead"
"buffie"
"bug eater"
"buk buk"
"bumblebee"
"bung"
"bunga"
"burrhead"
"butterhead"
"cab nigger"
"camel cowboy"
"camel fucker"
"camel humper"
"camel jacker"
"camel jockey"
"can eater"
"carpet pilot"
"carrot snapper"
"caublasian"
"cave nigge"
"charlie"
"charva"
"charver"
"chav"
"chee chee"
"cheese eating surrender monkey"
"chi chi"
"chigger"
"chili shitter"
"chinaman"
"chinese wetback"
"ching chong"
"chinig"
"chink a billy"
"chink"
"chonky"
"christ killer"
"chug"
"clamhead"
"cocoa puff"
"colored"
"coloured"
"conspiracy theorist"
"coolie"
"coon ass"
"coon"
"cotton picker"
"cow kisser"
"cowboy killer"
"cracker"
"cripple"
"cunt"
"curry muncher"
"curry slurper"
"curry stinker"
"cushi"
"cushite"
"dago"
"darkey"
"darkie"
"darky"
"dego"
"diaper head"
"dinge"
"dingo fucker"
"dink"
"div"
"divvy"
"dogan"
"dogun"
"dole bludger"
"domes"
"dot head"
"dune coon"
"dune nigger"
"dyke jumper"
"dyke"
"eh hole"
"eight ball"
"eurotrash"
"eyetie"
"fag"
"faggot"
"fairy"
"fez"
"fob"
"fog nigger"
"four by two"
"fresh off the boat"
"fuzzy wuzzy"
"fuzzy"
"gable"
"gator bait"
"gerudo"
"gew"
"ghetto hamster"
"ghetto"
"gin jockey"
"gin"
"ginzo"
"gipp"
"gippo"
"golliwog"
"gook eye"
"gook"
"gooky"
"greaseball"
"greaser"
"groid"
"guala guala"
"guala"
"gub"
"gubba"
"guido"
"guinea"
"gun burglar"
"gurrier"
"gwat"
"gyp"
"gypo"
"gyppie"
"gyppo"
"gyppy"
"hairyback"
"half breed"
"halfrican"
"hayseed"
"hebe"
"hebro"
"heeb"
"heinie"
"hick"
"higger"
"ho"
"hoe"
"honkey"
"honkie"
"honky"
"honyak"
"honyock"
"hoosier"
"hoser"
"house nigger"
"hunkie"
"hunyak"
"hunyock"
"hymie"
"ice monkey"
"ice nigger"
"ikey mo"
"ikey"
"iky"
"injun"
"island nigger"
"jant"
"jap"
"japie"
"jewbacca"
"jhant"
"jig"
"jigaboo"
"jigarooni"
"jigg"
"jigga"
"jiggabo"
"jiggaboo"
"jigger"
"jihadi"
"jijjiboo"
"jim fish"
"jungle bunny"
"junior mint"
"khazar"
"kike"
"knacker"
"kotiya"
"kraut"
"kushi"
"kushite"
"kyke"
"latrino"
"lawn jockey"
"leb"
"lebbo"
"lefty"
"lemonhead"
"leprechaun"
"limey"
"ling ling"
"lowlander"
"lugan"
"mack"
"mackerel snapper "
"mangia cake"
"merkin"
"mickey finn"
"mickey"
"mil bag"
"millie"
"moch"
"mockey"
"mockie"
"mocky"
"moke"
"moky"
"mong"
"monkey"
"moon cricket"
"moor"
"moss eater"
"mosshead"
"moulie"
"moulignon"
"moulinyan"
"moxy"
"mud duck"
"mud person"
"mud shark"
"muk"
"muktuk"
"mulato"
"mulignan"
"mung"
"munt"
"munter"
"mutt"
"muzzie"
"nacho"
"neche"
"ned"
"neechee"
"neejee"
"negro"
"net head"
"nicca"
"nichi"
"nichiwa"
"nidge"
"nig nog"
"nig"
"nigar"
"niger"
"nigette"
"niggar"
"nigger"
"nigglet"
"niggor"
"niggress"
"niglet"
"nigor"
"nigra"
"nigre"
"nip"
"nitchee"
"nitchie"
"nitchy"
"ocker"
"octaroon"
"octroon"
"ofay"
"orangie"
"oreo"
"oriental"
"oven dodger"
"paddy"
"paki"
"paleface"
"pancake face"
"papist"
"papoose"
"peckerwood"
"pickaninny"
"piker"
"pikey"
"piky"
"pineapple nigger"
"ping pang"
"pinto"
"plastic paddy"
"pogue"
"pohm"
"pointy head"
"polack"
"pollo"
"pom"
"pommie grant"
"pommie"
"pommy"
"popolo"
"poppadom"
"porch monkey"
"powderburn"
"prairie nigger"
"proddy dog"
"proddywhoddy"
"proddywoddy"
"property"
"punjab"
"pussy"
"quadroon"
"quashie"
"queer"
"race traitor"
"raghead"
"red bone"
"redlegs"
"redneck"
"redskin"
"retard"
"retarded"
"rhine monkey"
"rico suave"
"roofucker"
"roundeye"
"rube"
"russellite "
"sambo"
"sawney"
"scag"
"scallie"
"scally"
"scanger"
"semihole"
"senga"
"seppo"
"septic"
"shade"
"shant"
"shanty irish"
"sheeny"
"sheepfucker"
"sheister"
"shelta"
"shine"
"shiner"
"shit heel"
"shit kicker"
"shylock"
"shyster"
"sideways cooter"
"sideways pussy"
"sideways vagina"
"skag"
"skanger"
"skinny"
"skip"
"skippy"
"slag"
"slant eye"
"slit"
"slopehead"
"slopey"
"slopy"
"smoke jumper"
"smoked irish"
"smoked irishman"
"snout"
"snowflake"
"sooty"
"soup taker "
"spear chucker"
"sperg"
"spic"
"spice nigger"
"spick"
"spickaboo"
"spide"
"spig"
"spigger"
"spigotty"
"spik"
"spike"
"spink"
"spiv"
"spook"
"squarehead"
"squaw"
"squinty"
"steek"
"stovepipe"
"stump jumper"
"sub human"
"sucker fish"
"suntan"
"surrender monkey"
"taffy"
"tar baby"
"tenker"
"thicklips"
"timber nigger"
"tincker"
"tinkar"
"tinkard"
"tinker"
"tinkere"
"tommy"
"touch of the tar brush"
"towel head"
"trailer park trash"
"trailer trash"
"tranny"
"trash"
"tree jumper"
"tunnel digger"
"twat"
"twinkie"
"tyncar"
"tynekere"
"tynkard"
"tynkare"
"tynker"
"tynkere"
"uncircumcised baboon"
"uncivilised"
"uncivilized"
"uncle tom"
"velcro head"
"wagon burner"
"wasp"
"wetback"
"wexican"
"whigger"
"white chocolate"
"white nigger"
"white trash"
"whitey"
"whore from fife"
"wic"
"wigga"
"wigger"
"wiggerette"
"wog"
"wop"
"yank"
"yankee"
"yardie"
"yellow bone"
"yid"
"yob"
"yobbo"
"yokel"
"zigabo"
"zionazi"
"zipperhead"
"zippohead"
"zog lover"
"zog"
