"white trash"
"trailer trash"
"trailer park trash"
"hoser"
"bludger"
"hayseed"
"bogan"
"yardie"
"yobbo"
"dole bludger"
"charver"
"redneck"
"cracker"
"spiv"
"chav"
"charva"
"skanger"
"hick"
"scally"
"steek"
"gurrier"
"jhant"
"scanger"
"jant"
"booner"
"bog trotter"
"spide"
"Bog Irish"
"scallie"
"moke"
"millie"
"hoosier"
"stump jumper"
"senga"
"bog hopper"
"carrot snapper"
"mil bag"
"bog jumper"
"cave nigger"
"conspiracy theorist"
"ned"
"bitter clinger"
"boojie"
"boon"
"chink a billy"
"div"
"divvy"
"rube"
"scag"
"shant"
"shit kicker"
"skag"
"slag"
"trash"
"tree jumper"
"yob"
